custom:0:New custom Tree:Welcome to WoW Talent Tree Manager.__n__This is a solution to manage trees and their loadouts. A loadout is a collection of skillsets, __n__e.g. a skillset for Raid/M+/PvP etc. You can edit trees or work with spec presets, manage __n__various skillsets in your loadout as well as auto solve all possible skill combinations with a __n__given filter.__n____n__Edit the tree name/description here. To edit tree nodes select \"Tree Editor\" in the top right.__n__Press \"Save/Load Trees\" to load tree spec presets, manage your custom trees and import or__n__export trees (from/to Discord, etc.).__n__To start the tree editing process, go to \"Tree Editor\" -> \"Create Node\" and create your first talent.__n____n__Select the \"Talent Loadout Editor\" in the top left to manage your loadout. You can __n__edit the loadout description there and create/import/export skillsets. Since skillsets are stored__n__inside the loadout which is part of the tree, you can save your skillsets by saving the tree__n__in the tree editor.__n____n__Lastly, select the \"Talent Loadout Solver\" to generate all possible combinations of talent__n__selections for all possible amounts of spendable talent points. Afterwards, you can filter__n__the results to include/exclude specific talents and load the results into your loadout.__n____n__Hint__cl__ This text can be edited!:Your loadout is a collection of different skillset that you can edit to suit various ingame situations,__n__e.g. a raid setup, an M+ setup or different PvP skillsets.__n__All skillsets are stored in the loadout which in turn is stored in the tree. So if you save your tree__n__you'll save your loadout as well! Additionally, you can import/export skillsets directly, to share__n__with friends or your favorite discord class experts.:0:0;
deathknight_blood:1:Blood Deathknight:This is the preset for the Blood Deathknight.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0:0::;
deathknight_frost:1:Frost Deathknight:This is the preset for the Frost Deathknight.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0:0::;
deathknight_unholy:1:Unholy Deathknight:This is the preset for the Unholy Deathknight.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0:0::;
deathknight_class:0:Deathknight:This is the preset for the Deathknight class tree.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0:0::;
demonhunter_havoc:1:Havoc Demonhunter:This is the preset for the Havoc Demonhunter.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0:0::;
demonhunter_vengeance:1:Vengeance Demonhunter:This is the preset for the Vengeance Demonhunter.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0:0::;
demonhunter_class:0:Demonhunter:This is the preset for the Demonhunter class tree.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0:0::;
druid_balance:1:Balance Druid:This is the preset for the Balance Druid.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0:0::;
druid_feral:1:Feral Druid:This is the preset for the Feral Druid.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0:0::;
druid_guardian:1:Guardian Druid:This is the preset for the Guardian Druid.__n__You can start editing the tree/loadout now.::38:0;0:Maul:Maul the target for Physical Damage.:0:1:4:1:0:0::4,5;1:Berserk__cl__ Ravage:Go berserk for 15 sec__cm__ reducing the cooldowns of Mangle__cm__ Thrash__cm__ and Growl by 100%. Combines with other Berserk abilities__cm__ granting all known Berserk effects while active.:0:4:4:1:0:0:6:15,14;2:Pulverize:A devastating blow that consumes 2 stacks of your Thrash on the target to deal Physical damage and reduce the damage they deal to you by 35% for 10 seconds.:0:9:3:1:0:0:32:36;3:Rage of the Sleeper:Unleashes the rage of Ursoc for 10 sec__cm__ preventing 25% of all damage you take and reflecting Nature damage back at your attackers. While active__cm__ you are immune to loss of control effects.:0:10:6:1:0:0:35,30:;4:Gore:Thrash__cm__ Swipe__cm__ Moonfire__cm__ and Maul have a 15% chance to reset the cooldown on Mangle__cm__ and to cause it to generate an additional 4 Rage.:1:2:3:1:0:0:0:31,6;5:Survival Instincts:Reduces all damage you take by 50% for 6 seconds.:1:2:5:1:0:0:0:7,6,8;6:Ursine Adept:Bear Form gives an additional 20% stamina. Moonfire__cm__ Soothe__cm__ Remove Corruption__cm__ and Rebirth are usable in Bear Form.:1:3:4:1:0:0:4,5:10,1,11;7:Improved Survival Instincts:Survival Instincts now has 2 charges.:1:3:5:1:0:0:5:;8:Improved Mangle:Mangle deals 20% additional damage against bleeding targets.:1:3:6:1:0:0:5:11,12;9:Innate Resolve:Regrowth and Frenzied Regeneration healing is increased by 12.0% on yourself.:1:4:2:1:0:0:31:14,13;10:Infected Wounds:Mangle and Maul cause an Infected Wound in the target__cm__ reducing their movement speed by 50% for 12 seconds.:1:4:3:1:0:0:6:;11:Ursocs Endurance:Increases the duration of Barkskin and Ironfur by 1 seconds.:1:4:5:1:0:0:6,8:;12:Gory Fur:Mangle has a 15% chance to reduce the Rage cost of your next Ironfur by 25%.:1:4:6:1:0:0:8:15,16;13:Pawsitive Outlook:Thrash has a 10% chance to trigger an additional Thrash.__n__,Thrash has a 20% chance to trigger an additional Thrash.:1:5:1:2:0:0:9:17;14:Scintillating Moonlight:Moonfire reduces damage dealt to you by 2%. ,Moonfire reduces damage dealt to you by 4%. :1:5:3:2:0:0:9,1:18,19;15:Tooth and Claw:Autoattacks have a 20% chance to empower your next Maul__cm__ stacking up to 2 times. Empowered Maul deals 40% increased damage and reduces the target's damage to you by 15% for 6 seconds.:1:5:5:1:0:0:1,12:21,20;16:Layered Mane:Ironfur has a 5% chance to grant two applications.,Ironfur has a 10% chance to grant two applications.:1:5:7:2:0:0:12:21,22;17:Earthwarden:When you deal direct damage with Thrash__cm__ you gain a charge of Earthwarden__cm__ reducing the damage of the next auto attack you take by 30%. Earthwarden may have up to 3 charges.__n__:1:6:1:1:0:0:13:23;18:Twin Moonfire:Moonfire deals 20% increased damage and also hits another nearby enemy within 15 yds of the target.:1:6:3:1:0:0:14:23,24,25;19:Galactic Guardian:Your damage has a 5% chance to trigger a free automatic Moonfire on that target. When this occurs__cm__ the next Moonfire you cast generates 8 Rage__cm__ and deals 300% increased direct damage.__n__:1:6:4:1:0:0:14:;20:Vulnerable Flesh:Maul has an additional 15% chance to critically strike. ,Maul has an additional 30% chance to critically strike.:1:6:5:2:0:0:15:25,26;21:Vicious Cycle:Mangle increases the damage of your next Maul__cm__ and Maul increases the damage of your next Mangle by 10%. Stacks up to 3.,Mangle increases the damage of your next Maul__cm__ and Maul increases the damage of your next Mangle by 15%. Stacks up to 3. Two Rank Talent.:1:6:6:2:0:0:15,16:;22:Reinforced Fur:Ironfur increases armor by an additional 4% and Barkskin reduces damage by an additional 5%.__n__:1:6:7:1:0:0:16:26;23:Berserk__cl__ Persistence:Go berserk for 15 sec__cm__ reducing the cooldown of Frenzied Regeneration by 100% and the cost of Ironfur by 50%. . Combines with other Berserk abilities__cm__ granting all known Berserk effects while active.__n__:1:7:2:1:0:0:17,18:32;24:Fury of Nature:While in Bear From__cm__ you deal 10% increased Arcane damage.,While in Bear From__cm__ you deal 20% increased Arcane damage.:1:7:3:2:0:0:18:27,28;25:Front of the Pack:Increases your movement speed by 5%. Stampeding Roar's radius and duration are increased by 15%.,ncreases your movement speed by 10%. Stampeding Roar's radius and duration are increased by 30%.:1:7:4:2:0:0:18,20:28;26:Berserk__cl__ Unchecked Aggresion:Go berserk for 15 sec__cm__ increasing haste by 15%__cm__ and reducing the rage cost of Maul by 10. Combines with other Berserk abilities__cm__ granting all known Berserk effects while active.:1:7:6:1:0:0:22,20:33;27:Elunes Favoured:While in Bear From__cm__ you deal 30% increased Arcane damage__cm__ and are healed for 30% of all Arcane damage done.:1:8:3:1:0:0:24:;28:Circle of Life and Death:Your damage over time effects deal their damage in 25% less time__cm__ and your healing over time effects in 15% less time.:1:8:4:1:0:0:24,25:34;29:Reinvigoration:Frenzied Regeneration's cooldown is reduced by 10.0%.:1:9:1:1:0:0:32:36;30:Survival of the Fittest:Reduces the cooldowns of Barkskin and Survival Instincts by 33%.:1:9:7:1:0:0:33:3;31:Brambles,Undefined switch name:Sharp brambles protect you__cm__ absorbing and reflecting damage from each attack. While Barkskin is active__cm__ the brambles also deal Nature damage to all nearby enemies every 1 seconds.,Bristle your fur__cm__ causing you to generate Rage based on damage taken for 8 seconds.:2:3:2:1:0:0:4:9;32:Dream of Cenarious,Undefined switch name:When you take non-periodic damage__cm__ you have a chance equal to your critical strike to cause your next Regrowth to be instant__cm__ free__cm__ and castable in all forms. Cannot occur more than once every 20 seconds.,Maul & Thrash grants you an absorb shield for 75% of all damage they deal.:2:8:2:1:0:0:23:29,2;33:Guardian of Elune,Undefined switch name:Mangle increases the duration of your next Ironfur by 2 sec__cm__ or the healing of your next Frenzied Regeneration by 20%.,Each time you spend 200 Rage__cm__ you heal nearby allies for 3% of your maximum health.:2:8:6:1:0:0:26:35,30;34:Convoke the Spirits,Undefined switch name:Call upon the Night Fae for an eruption of energy__cm__ channeling a rapid flurry of 16 Druid spells and abilities over 4 seconds. You will cast Mangle Ironfur__cm__ Moonfire__cm__ Wrath__cm__ Regrowth__cm__ Rejuvenation__cm__ Rake__cm__ and Thrash on appropriate nearby targets__cm__ favoring your current shapeshift form.,An improved Bear Form that grants all of your known Berserk effects__cm__ causes Mangle to hit up to 3 targets__cm__ and increases maximum health by 30%. Lasts 30 seconds. You may freely shapeshift in and out of this improved Bear Form for its duration.:2:9:4:1:0:0:28:37;35:Blood Frenzy,Undefined switch name:Thrash also generates 2 Rage each time it deals damage.,Mangle generates 5 more Rage and deals 25% more damage.:2:9:5:1:0:0:33:3;36:Untamed Savagery,Undefined switch name:Increases the damage and radius of Thrash by 25%.,Each stack of Thrash reduces the target's damage to you by 2% and increases your damage to them by 2%.:2:10:2:1:0:0:29,2:;37:Improved Incarnation and Convoke:Shifting out of Incarnation before it expires ends the effect and refunds a portion of its cooldown. Convoke the Spirits has an increased chance to use an exceptional spell or ability.:1:10:4:1:0:0:34:;
